rva	size	donor	donor_rva	symbol	unit	score	margin	target_strings	evidence
0x00082040	0x40	buka21	0x000be050	?SetInstallDefaults@@YIXXZ	BASE/Misc	0.467150	0.006262		shape=0.318;size=0.901;calls=1.000;alternate=pol20:long int FileSize(char *)@0x000c68c0:0.464345
0x00082080	0xa0	buka21	0x000d96d7	__fseek_lk	(libcmt)	0.525164	0.082595		shape=0.377;size=0.881;calls=1.000;alternate=pol20:void soundManager::MIDIStop(void)@0x000d3e70:0.381671
0x00082120	0x30	buka21	0x00021710	??0armyGroup@@QAE@XZ	SOURCE/ARMYGRP	0.486975	0.060464		shape=0.318;size=0.980;calls=0.667;alternate=pol20:long int FileSize(char *)@0x000c68c0:0.441927
0x00082150	0x1b0	buka21	0x000d954a	__ftell_lk	(libcmt)	0.442241	0.063143		shape=0.236;size=0.817;calls=1.000;alternate=pol20:void BlitBitmapToScreen(class bitmap *, int, int, int, int, int, int)@0x000c5ee0:0.374438
0x00082300	0x40	buka21	0x000d7f60	_strncmp	(libcmt)	0.760697	0.353373		shape=0.906;size=0.875;calls=1.000;alternate=pol20:int CheckMem(void)@0x000a0b44:0.358389
0x00082340	0x40	buka21	0x000be050	?SetInstallDefaults@@YIXXZ	BASE/Misc	0.466710	0.002132		shape=0.304;size=0.901;calls=1.000;alternate=pol20:long int FileSize(char *)@0x000c68c0:0.462024
0x00082380	0x180	buka21	0x000dfedc	__fwrite_lk	(libcmt)	0.384740	0.034688		shape=0.222;size=0.693;calls=0.750;alternate=pol20:void textEntryWidget::SetupDisplayString(char *, unsigned short int)@0x000d9570:0.379172
0x00082500	0x80	buka21	0x000d937c	_lseek	(libcmt)	0.427928	0.000000		shape=0.228;size=0.789;calls=1.000;alternate=pol20:void MIDIWrap::constructor(char *)@0x000daf70:0.408707
0x00082580	0x90	buka21	0x000ce520	??0MIDIWrap@@QAE@PAD@Z	BASE/SAMPLE	0.410997	0.007180		shape=0.179;size=0.762;calls=0.833;alternate=pol20:int mouseManager::Open(int);   // virtual [override (implements baseManager pure virtual)]@0x000c9350:0.393496
0x00082610	0xb0	buka21	0x000c7f80	?allocateCompressStructures@@YIXXZ	BASE/Bzip	0.421648	0.006295		shape=0.159;size=0.972;calls=0.833;alternate=pol20:int wsWaitForExtraGuests(void)@0x0000768e:0.403507
